year,izena,talde_izena,kategoria,denbora,kalea,tanda,tanda_posizioa,puntuazioa,posizioa,0_ziaboga,1_ziaboga,2_ziaboga,1_ziaboga,2_ziaboga
2022,XLV Zarauzko IkurriñaJ1,Itsasoko ama,,"21:39,84",1,1,3,3,10,05:22,10:35,16:14,10:35,16:14
2022,XLV Zarauzko IkurriñaJ1,Kaiku,,"21:47,30",3,2,4,2,11,05:17,10:44,16:23,10:44,16:23
2022,XLV Zarauzko IkurriñaJ1,Ares,,"22:01,44",4,1,4,1,12,05:19,10:51,16:38,10:51,16:38
2022,XLV Zarauzko IkurriñaJ2,Hondarribia,,"20:10,62",4,3,1,12,1,04:52,09:56,15:12,09:56,15:12
2022,XLV Zarauzko IkurriñaJ2,Urdaibai,,"20:10,64",1,3,2,11,2,04:55,10:01,15:16,10:01,15:16
2022,XLV Zarauzko IkurriñaJ2,Donostiarra,,"20:16,36",3,3,3,10,3,04:53,09:53,15:11,09:53,15:11
2022,XLV Zarauzko IkurriñaJ2,Orio,,"20:27,88",2,3,4,9,4,04:54,09:58,15:17,09:58,15:17
2022,XLV Zarauzko IkurriñaJ2,Kaiku,,"20:31,20",3,1,1,8,5,05:02,10:04,15:29,10:04,15:29
2022,XLV Zarauzko IkurriñaJ2,Zierbena,,"20:34,64",3,2,1,7,6,05:01,10:06,15:28,10:06,15:28
2022,XLV Zarauzko IkurriñaJ2,Getaria,,"20:37,14",4,2,2,6,7,05:03,10:10,15:34,10:10,15:34
2022,XLV Zarauzko IkurriñaJ2,Itsasoko ama,,"20:38,38",4,1,2,5,8,05:04,10:07,15:34,10:07,15:34
2022,XLV Zarauzko IkurriñaJ2,Isuntza,,"20:38,98",2,2,3,4,9,05:07,10:10,15:36,10:10,15:36
2022,XLV Zarauzko IkurriñaJ2,Cabo,,"20:52,40",1,1,3,3,10,05:12,10:23,15:51,10:23,15:51
2022,XLV Zarauzko IkurriñaJ2,Ondarroa,,"20:52,74",1,2,4,2,11,05:07,10:16,15:44,10:16,15:44
